"species";"lookup";"match"
"– A. henryi E. PRITZ. var. henryi";"Henry-E. – A. henryi E. PRITZ. var. henryi";"Z s"
"– A. anthora L.6* Wurzeln nicht deutlich";"Feinblatt-E., Blassgelber E., Giftheil – A. anthora L.6* Wurzeln nicht deutlich";"Z s"
"– A. moldavicum HACQ.7* Helm bis 2mal so";"Moldawischer E. – A. moldavicum HACQ.7* Helm bis 2mal so";"Z z"
"– A. carmichaelii DEBEAUX";"Chinesischer E. – A. carmichaelii DEBEAUX";"Z z"
"– A. degenii GÁYER10* Helm deutlich höhe";"Rispen-E. – A. degenii GÁYER10* Helm deutlich höhe";"Z z"
"– A. variegatum agg.)  . . . . . . . . .";"Bunter E. – A. variegatum agg.)  . . . . . . . . .";NA
"– A. pilipes (RCHB.) GÁYER12 (9) BHüllBl";"Raustiel-E., Behaarter E. – A. pilipes (RCHB.) GÁYER12 (9) BHüllBl";NA
"– A. tauricum WULFEN";"Tauern-E. – A. tauricum WULFEN";"Z s"
"–A. napellus agg.)  . . . . . . . . . . ";"Blauer E. –A. napellus agg.)  . . . . . . . . . . ";NA
"– A. plicatum KÖHLER ex RCHB.";"Sudeten-E. – A. plicatum KÖHLER ex RCHB.";NA
"– D. semibarbatum BIEN. ex BOISS.2* BHül";"Gelber R. – D. semibarbatum BIEN. ex BOISS.2* BHül";"Z s"
"– D. cardinale HOOK.3* BlAbschnitte im U";"Roter R. – D. cardinale HOOK.3* BlAbschnitte im U";"Z s"
"– D. nudicaule TORR. et A. GRAY4 (1) Pfl";"Nacktstängliger R. – D. nudicaule TORR. et A. GRAY4 (1) Pfl";"Z s"
"– D. staphisagria L.Ähnlich: Requien-R. ";"Mittelmeer-R., Stephanskraut – D. staphisagria L.Ähnlich: Requien-R. ";NA
"– D. brunonianum ROYLE";"Himalaja-R. – D. brunonianum ROYLE";"Z s"
"– D. elatum L.";"Hoher-R. – D. elatum L.";"Z v"
"– D. cashmerianum ROYLE";"Kaschmir-R. – D. cashmerianum ROYLE";"Z s"
"– D. fissum WALDST. et KIT.8* Pfl ohne k";"Schlitzblättriger R. – D. fissum WALDST. et KIT.8* Pfl ohne k";"Z s"
"– D. grandiflorum L.Ähnlich: Sichuan-R. ";"Großblütiger R. – D. grandiflorum L.Ähnlich: Sichuan-R. ";"Z z"
"– C. regalis GRAY";"Feld-R. – C. regalis GRAY";"Z s"
"– C. hispanica (COSTA) GREUTER et BURDET";"Orientalischer R. – C. hispanica (COSTA) GREUTER et BURDET";"Z z"
"– Th. alpinum L.";"Alpen-W. – Th. alpinum L.";"Z s"
"– Th. delavayi FRANCH. var. delavayi";"Chinesische W. – Th. delavayi FRANCH. var. delavayi";"Z s"
"– Th. aquilegifolium L.";"Akelei-W. – Th. aquilegifolium L.";"Z z"
"– Th. flavum L.Ähnlich: Blaugrüne W., Pr";"Gelbe W. – Th. flavum L.Ähnlich: Blaugrüne W., Pr";"Z s"
"– A. vitifolia BUCH.-HAM. ex DC.3* BlSpr";"Weinblättrige A. – A. vitifolia BUCH.-HAM. ex DC.3* BlSpr";"Z s"
"– A. tomentosa (MAXIM.) C. PEI4* BlSprei";"Filzblättrige A. – A. tomentosa (MAXIM.) C. PEI4* BlSprei";"Z z"
"– A. hupehensis (LEMOINE) LEMOINE var. h";"Herbst-A. – A. hupehensis (LEMOINE) LEMOINE var. h";"Z z"
"– A. caroliniana WALTER";"Carolina-A. – A. caroliniana WALTER";"Z s"
"– A. palmata L.";"Westmediterrane A. – A. palmata L.";"Z s"
"– A. coronaria L.";"Garten-A., Kronen-A. – A. coronaria L.";"Z s"
"– A. hortensis L.Ähnlich: Pfauen-A. – A.";"Stern-A. – A. hortensis L.Ähnlich: Pfauen-A. – A.";"Z s"
"– A. baldensis L.";"Monte Baldo-W., Tiroler W. – A. baldensis L.";"Z s"
"– A. pavoniana BOISS.";"Spanische A. – A. pavoniana BOISS.";"Z s"
"– A. rupicola CAMBESS.";"Felsen-W. – A. rupicola CAMBESS.";"Z s"
"– A. multifida POIR.13* Endabschnitte de";"Pazifisches W. – A. multifida POIR.13* Endabschnitte de";"Z z"
"– A. virginiana L.";"Virginische A. – A. virginiana L.";NA
"– A. cylindrica A. GRAY";"Langkopf-A. – A. cylindrica A. GRAY";NA
"– A. richardsonii HOOK.";"Richardson-A. – A. richardsonii HOOK.";"Z s"
"– A. rivularis BUCH.-HAM. ex DC.17* Frch";"Bach-W. – A. rivularis BUCH.-HAM. ex DC.17* Frch";"Z s"
"– A. tetrasepala ROYLE18* Pfl 20–40 cm h";"Westhimalaische A. – A. tetrasepala ROYLE18* Pfl 20–40 cm h";"Z s"
"– A. canadensis L.Ähnlich: Gabel-A. – A.";"Kanadisches W. – A. canadensis L.Ähnlich: Gabel-A. – A.";"Z s"
"– A. narcissiflora L.: Pfl 20–30(–40) cm";"Narzissen-W.,Berghähnlein – A. narcissiflora L.: Pfl 20–30(–40) cm";"Z s"
"– A. glaucifolia FRANCH.";"Fiederblättrige A. – A. glaucifolia FRANCH.";"Z s"
"– A. trullifolia HOOK. f. et THOMSON22* ";"Löffelblättrige A. – A. trullifolia HOOK. f. et THOMSON22* ";"Z s"
"– A. obtusiloba D. DON23 (21) Rhizom ± k";"Stumpflappige A. – A. obtusiloba D. DON23 (21) Rhizom ± k";"Z s"
"– A. apennina L.";"Apenninen-W. – A. apennina L.";"Z z"
"– A. blanda SCHOTT et KOTSCHY";"Balkan-W. – A. blanda SCHOTT et KOTSCHY";"Z z"
"– A. baicalensis TURCZ. et LEDEB.Ähnlich";"Baikal-W. – A. baicalensis TURCZ. et LEDEB.Ähnlich";"Z s"
"– A. reflexa STEPH. ex WILLD.26* BHüllBl";"Rückwärtsgebogene A. – A. reflexa STEPH. ex WILLD.26* BHüllBl";"Z s"
"– A. trifolia L.";"Dreiblatt-W. – A. trifolia L.";"Z z"
"– A. altaica FISCH. et C. A. MEY.";"Altai-W. – A. altaica FISCH. et C. A. MEY.";NA
"– H. transsilvanica FUSS";"Siebenbürger L. – H. transsilvanica FUSS";NA
"– P. alpina (L.) DELARBREUnterarten:1 BH";"Alpen-K. – P. alpina (L.) DELARBREUnterarten:1 BH";"Z s"
"– P. aurea (N. BUSCH) JUZ.: BHülle goldg";"Goldgelbe K. – P. aurea (N. BUSCH) JUZ.: BHülle goldg";"Z s"
"– P. alpina (L.) DELARBRE subsp.alba (RC";"Brocken-K., Brockenanemone – P. alpina (L.) DELARBRE subsp.alba (RC";"Z s"
"– P. vernalis (L.) MILL.";"Frühlings-K. – P. vernalis (L.) MILL.";"Z s"
"– P. flavescens (ZUCC.) JUZ.";"Gelbliche K. – P. flavescens (ZUCC.) JUZ.";"Z s"
"– P. patens (L.) MILL.6 (4) B übergeboge";"Finger-K., Stern-K. – P. patens (L.) MILL.6 (4) B übergeboge";"Z s"
"– P. montana (HOPPE) RCHB.";"Berg-K. – P. montana (HOPPE) RCHB.";"Z s"
"– P. albana (STEVEN) BERCHT. et J. PRESL";"Kaukasische K. – P. albana (STEVEN) BERCHT. et J. PRESL";"Z s"
"– P. pratensis (L.) MILL.";"Wiesen-K. – P. pratensis (L.) MILL.";"Z s"
"– P. slavica G. REUSS";"Slawische K. – P. slavica G. REUSS";"Z s"
"– P. styriaca (PRITZ.) SIMONK.10* BlSpre";"Steirische K. – P. styriaca (PRITZ.) SIMONK.10* BlSpre";"Z s"
"– P. vulgaris MILL.";"Gewöhnliche K. – P. vulgaris MILL.";"Z z"
"– P. grandis WENDER.";"Große K. – P. grandis WENDER.";"Z s"
"– C. songarica BUNGE3* B einzeln od. in ";"Dsungarische W. – C. songarica BUNGE3* B einzeln od. in ";"Z s"
"– C. integrifolia L.Ähnlich: Gelbliche W";"Ganzblättrige W. – C. integrifolia L.Ähnlich: Gelbliche W";"Z s"
"– C. addisonii BRIT-TON: untere u. mittl";"Addison-W. – C. addisonii BRIT-TON: untere u. mittl";"Z s"
"– C. heracleifolia DC.4* Bl einfach gefi";"Großblättrige W., Trompeten-W. – C. heracleifolia DC.4* Bl einfach gefi";"Z s"
"– C. recta L.";"Aufrechte W. – C. recta L.";"Z s"
"– C. alpina (L.) MILL.";"Alpen-W., Alpenrebe – C. alpina (L.) MILL.";"Z s"
"– C. macropetala LEDEB.7 (5) Bl 3zählig ";"Großblumige W. – C. macropetala LEDEB.7 (5) Bl 3zählig ";"Z s"
"– C. armandii FRANCH.8* Bl sommergrün  .";"Armand-W. – C. armandii FRANCH.8* Bl sommergrün  .";NA
"– C. × jackmanii T. MOORE";"Jackman-W. – C. × jackmanii T. MOORE";NA
"– C. lanuginosa LINDL.";"Wollige W. – C. lanuginosa LINDL.";"Z s"
"– C. rehderiana CRAIB";"Rehder-W. – C. rehderiana CRAIB";"Z s"
"– C. tangutica (MAXIM.) KORSH.";"Mongolische W. – C. tangutica (MAXIM.) KORSH.";"Z z"
"– C. vitalba L.Hybride: mit C. potaninii";"Gewöhnliche W. – C. vitalba L.Hybride: mit C. potaninii";"Z v"
"– C. flammula L.";"Brennende W., Mandel-W. – C. flammula L.";"Z z"
"– C. viorna L.14* B br glockig bis flach";"Krugblütige W. – C. viorna L.14* B br glockig bis flach";"Z s"
"– C. viticella L.Ähnlich: Glockenblütige";"Italienische W. – C. viticella L.Ähnlich: Glockenblütige";"Z z"
"– R. aquatilis L.2* Land- od. SumpfPfl  ";"Gewöhnlicher W. – R. aquatilis L.2* Land- od. SumpfPfl  ";"Z s"
"– R. pyrenaeus L.";"Pyrenäen-H. – R. pyrenaeus L.";"Z s"
"– R. amplexicaulis L.";"Weißer H. – R. amplexicaulis L.";"Z s"
"– R. parnassifolius L. 6 (3) Pfl 5–15 cm";"Herzblättriger H. – R. parnassifolius L. 6 (3) Pfl 5–15 cm";"Z s"
"– R. crenatus L.";"Gekerbter H. – R. crenatus L.";"Z s"
"– R. alpestris L.";"Alpen-H. – R. alpestris L.";"Z s"
"– R. aconitifolius L.8* Stg mit aufrecht";"Eisenhutblättriger H. – R. aconitifolius L.8* Stg mit aufrecht";"Z s"
"– R. platanifolius L.";"Platanenblättriger H. – R. platanifolius L.";"Z s"
"– R. thora L.";"Schildblatt-H. – R. thora L.";"Z z"
"– R. gramineus L.";"Grasblättriger H. – R. gramineus L.";"Z s"
"– R. lingua L.";"Zungen-H. – R. lingua L.";"Z s"
"– R. flammula L.14 (9) KBl zurückgeschla";"Brennender H. – R. flammula L.14 (9) KBl zurückgeschla";"Z s"
"– R. bulbosus L.";"Knolliger H. – R. bulbosus L.";"Z s"
"– R. illyricus L.18* GrundBl meist mit 3";"Illyrischer H. – R. illyricus L.18* GrundBl meist mit 3";"Z s"
"– R. psilostachys GRISEB.";"Balkanischer H. – R. psilostachys GRISEB.";"Z s"
"– R. millefoliatus VAHL";"Tausendblättriger H. – R. millefoliatus VAHL";"Z s"
"– R. asiaticus L.";"Asiatischer H., Garten-Ranunkel – R. asiaticus L.";"Z s"
"– R. arvensis L.21* Pfl . Frchen nicht s";"Acker-H. – R. arvensis L.21* Pfl . Frchen nicht s";"Z s"
"– R. repens L.22* Pfl ohne kriechende, o";"Kriechender H. – R. repens L.22* Pfl ohne kriechende, o";"Z z"
"– R. montanus WILLD.";"Berg-H. – R. montanus WILLD.";"Z s"
"– R. acris L.24* FrchenSchnabel lg, zule";"Scharfer H. – R. acris L.24* FrchenSchnabel lg, zule";"Z z"
"– R. lanuginosus L. Adonisröschen – Adon";"Wolliger H. – R. lanuginosus L. Adonisröschen – Adon";"Z z"
"– A. vernalis L.2* Pfl behaart, bis zum ";"Frühlings-A. – A. vernalis L.2* Pfl behaart, bis zum ";"Z z"
"– A. amurensis REGEL et RADDE";"Amur-A. – A. amurensis REGEL et RADDE";"Z s"
"– C. pimpinelloides (D. DON) HOOK. f. et";"Bibernellähnliche Sch. – C. pimpinelloides (D. DON) HOOK. f. et";"Z s"
"– C. coriandrifolium RCHB.3* GrundBl mit";"Korianderblättrige Sch. – C. coriandrifolium RCHB.3* GrundBl mit";"Z s"
"– C. angustifolium WITASEK";"Schmalblättrige Sch. – C. angustifolium WITASEK";"Z s"
"– C. anemonoides (ZAHLBR.) ENDL. ex HEYN";"Anemonen-Sch. – C. anemonoides (ZAHLBR.) ENDL. ex HEYN";"Z s"
"– C. kernerianum FREYN ex A. KERN.";"Kerner-Sch. – C. kernerianum FREYN ex A. KERN.";"Z s"
"– A. triphylla (SM.) DC.";"Dreiblättriges V. – A. triphylla (SM.) DC.";"Z s"
"– C. thalictroides (L.) MICHX.";"Wiesenrautenähnliche I. – C. thalictroides (L.) MICHX.";"Z s"
"– V. hexandra (HOOK.) C. MORREN et DECNE";"Nördliche V., Rüsselsternchen – V. hexandra (HOOK.) C. MORREN et DECNE";"Z s"
"– V. chrysantha GREENE: BlchenRand verdi";"Gelbe V. – V. chrysantha GREENE: BlchenRand verdi";"Z s"
"– E. perralderianum COSS.";"Algerische S. – E. perralderianum COSS.";"Z s"
"– E. pinnatum FISCH. subsp. colchicum (B";"Kolchische S. – E. pinnatum FISCH. subsp. colchicum (B";"Z s"
"– E. grandiflorum C. MORREN3* B 1–2,5 cm";"Großblütige S. – E. grandiflorum C. MORREN3* B 1–2,5 cm";"Z z"
"– C. japonica (THUNB.) SPRENG.";"Japanische S. – C. japonica (THUNB.) SPRENG.";NA
"– E. pubigerum (DC.) C. MORREN et DECNE.";"Behaarte S. – E. pubigerum (DC.) C. MORREN et DECNE.";"Z z"
"– E. alpinum L.Gartenhybr: E. × perralch";"Alpen-S. – E. alpinum L.Gartenhybr: E. × perralch";"Z z"
"– J. diphylla (L.) PERS.";"Zweiblättrige J., Zwillingsblatt – J. diphylla (L.) PERS.";"Z s"
"– J. dubia (MAXIM.) BENTH. et HOOK. f.";"Ganzblättrige J., Herzblattschale – J. dubia (MAXIM.) BENTH. et HOOK. f.";"Z s"
"– P. pleianthum HANCE1* B einzeln, weiß ";"Chinesischer M. – P. pleianthum HANCE1* B einzeln, weiß ";"Z s"
"– P. hexandrum ROYLE";"Himalaja-M. – P. hexandrum ROYLE";"Z s"
"– P. peltatum L.";"Nordamerikanischer M., Gewöhnlicher M., Entenfuß – P. peltatum L.";"Z s"
". – R. coulteri HARV.";"Coulter-R . – R. coulteri HARV.";NA
"– A. mexicana L.";"Mexikanischer St. – A. mexicana L.";NA
"– A. grandiflora SWEET";"Großblütiger St. – A. grandiflora SWEET";"Z s"
"– A. sanguinea GREENE3* Untere Bl fieder";"Rötlichweißer St. – A. sanguinea GREENE3* Untere Bl fieder";"Z s"
"– A. polyanthemos (FEDDE) G. B. OWNBEY";"Vielblütiger St. – A. polyanthemos (FEDDE) G. B. OWNBEY";"Z s"
"-M. – P. radicatum ROTTB.";"Polar -M. – P. radicatum ROTTB.";NA
". – P. croceum LEDEB.Art eines sehr viel";"Altai-M., Island-M . – P. croceum LEDEB.Art eines sehr viel";NA
". – P. alpinum L. Folgende Unterarten si";"Alpen-M . – P. alpinum L. Folgende Unterarten si";NA
". – P. pavoninum FISCH. et C. A. MEY.";"Pfauen-M . – P. pavoninum FISCH. et C. A. MEY.";NA
". – P. orientale L.8* KrBl am Grund mit ";"Orientalischer M . – P. orientale L.8* KrBl am Grund mit ";NA
". – P. bracteatum LINDL.";"Scharlach-M., Arznei-M . – P. bracteatum LINDL.";NA
"– P. pseudo-orientale (FEDDE) MEDW.10 (7";"Falscher Orient-M. – P. pseudo-orientale (FEDDE) MEDW.10 (7";NA
". – P. pilosum SIBTH. et SM. 10* B stets";"Behaarter M . – P. pilosum SIBTH. et SM. 10* B stets";NA
". – P. glaucum BOISS. et HAUSSKN.12* Bl ";"Tulpen-M . – P. glaucum BOISS. et HAUSSKN.12* Bl ";NA
"., Schlaf-M. – P. somniferum L.Schütt-M.";"Garten-M ., Schlaf-M. – P. somniferum L.Schütt-M.";NA
". – P. rhoeas L.Verschiedene Sortengrupp";"Klatsch-M . – P. rhoeas L.Verschiedene Sortengrupp";NA
". – P. lateritium K. KOCH";"Ziegelroter M . – P. lateritium K. KOCH";NA
". – P. rupifragum BOISS. et REUT.Ähnlich";"Fels-M . – P. rupifragum BOISS. et REUT.Ähnlich";NA
"– M. horridula HOOK. f. et THOMSON1* Pfl";"Stachliger Sch. – M. horridula HOOK. f. et THOMSON1* Pfl";NA
"– M. integrifolia (MAXIM.) FRANCH.3* B l";"Gelbhaariger Sch. – M. integrifolia (MAXIM.) FRANCH.3* B l";"Z s"
"– M. quintuplinervia REGEL";"Fünfnerviger Sch. – M. quintuplinervia REGEL";"Z s"
"– M. villosa (HOOK. f.) G. TAYLOR6* Unte";"Zottiger Sch., Cathcartie – M. villosa (HOOK. f.) G. TAYLOR6* Unte";"Z s"
"– M. cambrica (L.) VIG.7* BStand ein loc";"Kambrischer Sch., Wald-Sch., Pyrenäen-Sch. – M. cambrica (L.) VIG.7* BStand ein loc";NA
"– M. chelidoniifolia BUREAU et FRANCH.8 ";"Schöllkrautblättriger Sch. – M. chelidoniifolia BUREAU et FRANCH.8 ";"Z s"
"– M. paniculata (D. DON) PRAIN";"Rispiger Sch. – M. paniculata (D. DON) PRAIN";"Z s"
"– M. dhwojii G. TAYLOR ex HAY9 (4) Grund";"Dhwoji-Sch. – M. dhwojii G. TAYLOR ex HAY9 (4) Grund";"Z s"
"– M. napaulensis DC.";"Nepal-Sch., Satin-Sch. – M. napaulensis DC.";"Z s"
"– M. grandis PRAIN10* GrundBlSpreite am ";"Großer Sch. – M. grandis PRAIN10* GrundBlSpreite am ";"Z z"
"– M. betonicifolia FRANCH.";"Blauer Sch., Himalaja-Sch. – M. betonicifolia FRANCH.";"Z z"
"– P. californicus BENTH.";"Breitfaden, Cremeschale – P. californicus BENTH.";"Z s"
"– St. diphyllum (MICHX.) NUTT.";"Zweiblättriger Sch. – St. diphyllum (MICHX.) NUTT.";"Z s"
"– H. japonica (THUNB. ex MURRAY) PRANTL ";"Japanischer W. – H. japonica (THUNB. ex MURRAY) PRANTL ";"Z z"
